model,perturbation,level,mean_accuracy,std_accuracy
global,feat_noise,0.03333333333333333,0.6578947368421055,2.220446049250313e-16
global,feat_noise,0.06666666666666667,0.6578947368421055,2.220446049250313e-16
global,feat_noise,0.1,0.6578947368421055,2.220446049250313e-16
global,feat_noise,0.13333333333333333,0.6578947368421055,2.220446049250313e-16
global,feat_noise,0.16666666666666666,0.6578947368421055,2.220446049250313e-16
global,feat_noise,0.2,0.6578947368421055,2.220446049250313e-16
global,feat_noise,0.23333333333333334,0.6578947368421055,2.220446049250313e-16
global,feat_noise,0.26666666666666666,0.6578947368421055,2.220446049250313e-16
global,feat_noise,0.3,0.6578947368421055,2.220446049250313e-16
global,feat_noise,0.3333333333333333,0.6578947368421055,2.220446049250313e-16
global,feat_noise,0.36666666666666664,0.6578947368421055,2.220446049250313e-16
global,feat_noise,0.4,0.6578947368421055,2.220446049250313e-16
global,feat_noise,0.43333333333333335,0.6578947368421055,2.220446049250313e-16
global,feat_noise,0.4666666666666667,0.6578947368421055,2.220446049250313e-16
global,feat_noise,0.5,0.6578947368421055,2.220446049250313e-16
dmon,node_drop,0.0,0.8421052631578945,2.220446049250313e-16
dmon,node_drop,0.02,0.8302631578947366,0.013091939961929195
dmon,node_drop,0.04,0.8276315789473683,0.015512929108620505
dmon,node_drop,0.06,0.819736842105263,0.020846025681256385
dmon,node_drop,0.08,0.8039473684210525,0.026933538803235155
dmon,node_drop,0.1,0.7934210526315789,0.03144158722460136
dmon,node_drop,0.12,0.7973684210526316,0.028947368421052604
dmon,node_drop,0.14,0.7710526315789473,0.03339099352749873
dmon,node_drop,0.16,0.7671052631578946,0.03838408459424954
dmon,node_drop,0.18,0.7697368421052632,0.043141042923039476
dmon,node_drop,0.2,0.7552631578947369,0.03730907073357323
dmon,node_drop,0.22,0.7407894736842106,0.04942536834471828
dmon,node_drop,0.24,0.7210526315789474,0.05089231475214136
dmon,node_drop,0.26,0.7157894736842106,0.0437190729627267
dmon,node_drop,0.28,0.7210526315789473,0.048093860217097543
dmon,node_drop,0.3,0.6986842105263159,0.05487015647892905
ecpool,node_drop,0.0,0.7894736842105262,1.1102230246251565e-16
ecpool,node_drop,0.02,0.7802631578947369,0.019112946113597293
ecpool,node_drop,0.04,0.7842105263157894,0.017848236797698057
ecpool,node_drop,0.06,0.7671052631578947,0.039275819885787634
ecpool,node_drop,0.08,0.7631578947368421,0.0332871332649303
ecpool,node_drop,0.1,0.75,0.045198852729783336
ecpool,node_drop,0.12,0.7644736842105263,0.04517969661418262
ecpool,node_drop,0.14,0.7447368421052631,0.03636914463443488
ecpool,node_drop,0.16,0.7513157894736843,0.04281878972440258
ecpool,node_drop,0.18,0.7421052631578948,0.04965253227398212
ecpool,node_drop,0.2,0.7276315789473683,0.04727695848216231
ecpool,node_drop,0.22,0.7236842105263157,0.04519885272978334
ecpool,node_drop,0.24,0.6973684210526316,0.05295950473025819
ecpool,node_drop,0.26,0.7039473684210527,0.04150476393575657
ecpool,node_drop,0.28,0.7131578947368421,0.051231374562978375
ecpool,node_drop,0.3,0.7105263157894737,0.050619431741240395
mincut,node_drop,0.0,0.7631578947368423,1.1102230246251565e-16
mincut,node_drop,0.02,0.7539473684210527,0.019112946113597328
mincut,node_drop,0.04,0.7605263157894738,0.016434205258943176
mincut,node_drop,0.06,0.7539473684210526,0.03144158722460138
mincut,node_drop,0.08,0.7407894736842107,0.022445686985831576
mincut,node_drop,0.1,0.743421052631579,0.024791373265022083
mincut,node_drop,0.12,0.7342105263157894,0.02988899129368566
mincut,node_drop,0.14,0.7368421052631579,0.03903262361629297
mincut,node_drop,0.16,0.7276315789473684,0.029155947113368857
mincut,node_drop,0.18,0.7315789473684211,0.036842105263157905
mincut,node_drop,0.2,0.7197368421052632,0.037471133857626675
mincut,node_drop,0.22,0.6973684210526316,0.043639799873097365
mincut,node_drop,0.24,0.6789473684210527,0.037770263406335054
mincut,node_drop,0.26,0.6750000000000002,0.041001148554954944
mincut,node_drop,0.28,0.6842105263157896,0.03990987075816606
mincut,node_drop,0.3,0.6618421052631579,0.05721793396094447
topk,node_drop,0.0,0.7894736842105262,1.1102230246251565e-16
topk,node_drop,0.02,0.7868421052631579,0.01417148633456447
topk,node_drop,0.04,0.7855263157894736,0.017206180040292115
topk,node_drop,0.06,0.7907894736842104,0.030547859911168134
topk,node_drop,0.08,0.7710526315789473,0.027725404612770375
topk,node_drop,0.1,0.7671052631578947,0.03838408459424953
topk,node_drop,0.12,0.7763157894736843,0.042022945849135025
topk,node_drop,0.14,0.7526315789473685,0.03157894736842106
topk,node_drop,0.16,0.761842105263158,0.03166107740925255
topk,node_drop,0.18,0.7578947368421052,0.04527539614232961
topk,node_drop,0.2,0.7368421052631579,0.05520046569316586
topk,node_drop,0.22,0.7328947368421053,0.04800377986040711
topk,node_drop,0.24,0.6973684210526316,0.053609338914377275
topk,node_drop,0.26,0.7144736842105265,0.047276958482162304
topk,node_drop,0.28,0.7315789473684211,0.059195904627378906
topk,node_drop,0.3,0.7052631578947369,0.06092545738310644
sag,node_drop,0.0,0.7368421052631577,1.1102230246251565e-16
sag,node_drop,0.02,0.7276315789473683,0.032524229195548086
sag,node_drop,0.04,0.7315789473684211,0.04823763889427199
sag,node_drop,0.06,0.6868421052631579,0.040683223246685
sag,node_drop,0.08,0.6644736842105263,0.047714379906496684
sag,node_drop,0.1,0.6500000000000001,0.06343142522733657
sag,node_drop,0.12,0.6052631578947367,0.06862318321265946
sag,node_drop,0.14,0.5960526315789474,0.05148420406977331
sag,node_drop,0.16,0.5552631578947369,0.05759491744273497
sag,node_drop,0.18,0.5618421052631578,0.07074739504615825
sag,node_drop,0.2,0.5421052631578946,0.056685945338257944
sag,node_drop,0.22,0.511842105263158,0.06733706095749466
sag,node_drop,0.24,0.4789473684210527,0.05619514869490164
sag,node_drop,0.26,0.5000000000000001,0.07672305124796448
sag,node_drop,0.28,0.47631578947368414,0.051902849798200076
sag,node_drop,0.3,0.4565789473684211,0.05215242416475373
global,node_drop,0.0,0.6578947368421055,2.220446049250313e-16
global,node_drop,0.02,0.6578947368421055,2.220446049250313e-16
global,node_drop,0.04,0.6578947368421055,2.220446049250313e-16
global,node_drop,0.06,0.6578947368421055,2.220446049250313e-16
global,node_drop,0.08,0.6578947368421055,2.220446049250313e-16
global,node_drop,0.1,0.6578947368421055,2.220446049250313e-16
global,node_drop,0.12,0.6578947368421055,2.220446049250313e-16
global,node_drop,0.14,0.6578947368421055,2.220446049250313e-16
global,node_drop,0.16,0.6578947368421055,2.220446049250313e-16
global,node_drop,0.18,0.6578947368421055,2.220446049250313e-16
global,node_drop,0.2,0.6578947368421055,2.220446049250313e-16
global,node_drop,0.22,0.6578947368421055,2.220446049250313e-16
global,node_drop,0.24,0.6578947368421055,2.220446049250313e-16
global,node_drop,0.26,0.6578947368421055,2.220446049250313e-16
global,node_drop,0.28,0.6578947368421055,2.220446049250313e-16
global,node_drop,0.3,0.6578947368421055,2.220446049250313e-16
